1,St. Olaf College,,CLIR Sponsor-DLF Member LAC,7/1/15 0:00,6/30/18 0:00,"1510 St. Olaf Avenue<BR/>Northfield, MN 55057 US",Ms. Roberta Lembke,,
"    ""2""",Northwestern University,,CLIR Sponsor-DLF Member,8/1/12 0:00,6/30/18 0:00,"1970 Campus Drive<BR/>Evanston, IL 60208-2300 US",Ms.  Sarah Pritchard,,
"    ""3""",Virginia Polytechnic Institute and State University,,CLIR Sponsor-DLF Member,7/1/11 0:00,6/30/18 0:00,"Drillfield Drive<BR/>P.O. Box 90001 Newman Library<BR/>Blacksburg, VA 24062-9001 US",Mr. Tyler Walters,,
"    ""4""",DePauw University,,DLF Member LAC,7/1/15 0:00,6/30/18 0:00,"11 East Larabee Street<BR/>Roy O. West Library<BR/>Greencastle, IN 46135-1772 US",Mr. Rick Provine,,
"    ""5""",Illinois Wesleyan University,,DLF Member LAC,4/5/17 0:00,6/30/18 0:00,"PO Box 2900  <BR/>The Ames Library 117<BR/>Bloomington, IL 61702-2900 US",Karen Schmidt,Bloomington,IL
"    ""6""",Chemical Heritage Foundation,,DLF Member LAC,7/1/16 0:00,6/30/17 0:00,"315 Chestnut Street<BR/>Philadelphia, PA 19106 US",Dr. Michelle DiMeo,,
"    ""7""",Princeton Theological Seminary,,DLF Member LAC,7/1/13 0:00,6/30/17 0:00,"25 Library Place<BR/>P.O. Box 111<BR/>Princeton, NJ 08542 US",Mr. Gregory Murray,,
"    ""8""",Macalester College,,DLF Member LAC,1/1/15 0:00,6/30/17 0:00,"1600 Grand Avenue<BR/>St. Paul, MN 55105-1801 US",Ms. Teresa A. Fishel,,
"    ""9""",Metropolitan New York Library Council,,DLF Member,7/1/14 0:00,6/30/17 0:00,"57 East 11th Street<BR/>Fourth Floor<BR/>New York, NY 10003 US",Ms. Anne Karle-Zenith,,
"    ""10""",Georgia State University,,DLF Member,12/17/13 0:00,6/30/17 0:00,"100 Decatur Street, SE<BR/>Atlanta, GA 30303 US",Ms. Carmen R. Newton,,
"    ""11""","University of California, Riverside",,DLF Member,7/1/14 0:00,6/30/17 0:00,"Science Library<BR/>3401 Watkins Drive<BR/>Riverside, CA 92521 US",Steven Mandeville-Gamble,,
"    ""12""",Getty Research Institute,,DLF Member,7/1/14 0:00,6/30/17 0:00,"1200 Getty Center Drive<BR/>Suite 1100<BR/>Los Angeles, CA 90049-1688 US",Mr. David Farneth,,
"    ""13""",James Madison University,,DLF Member,7/1/16 0:00,6/30/17 0:00,"Carrier Library, MSC 1704<BR/>880 Madison Drive<BR/>Harrisonburg, VA 22807 US",Dr. Adam Murray,,
"    ""14""",California State University Channel Islands,,DLF Member,7/1/14 0:00,6/30/17 0:00,"One University Drive<BR/>University Library<BR/>Camarillo, CA 93012 US",Mr. Steve Stratton,,
"    ""15""",Los Alamos National Lab,,DLF Member,7/1/11 0:00,6/30/17 0:00,"MS P362<BR/>P.O. Box 1663<BR/>Los Alamos, NM 87545-1362 US",Ms. Dee Magnoni,,
"    ""16""",The Claremont Colleges,,CLIR Sponsor-DLF Member LAC,7/1/15 0:00,6/30/17 0:00,"800 North Dartmouth<BR/>Honnold/Mudd Library-ACQ-RC<BR/>Claremont, CA 91711-3991 US",Mr. Kevin Mulroy,Claremont,CA
"    ""17""",Washington and Lee University,,CLIR Sponsor-DLF Member LAC,7/22/14 0:00,6/30/17 0:00,"204 West Washington Street<BR/>Lexington, VA 24450-0303 US",Mr. John Tombarge,,
"    ""18""",Reed College,,CLIR Sponsor-DLF Member LAC,7/1/14 0:00,6/30/17 0:00,"3203 SE Woodstock Boulevard<BR/>Portland, OR 97202-8199 US",Ms. Dena Hutto,,
"    ""19""",University of Arkansas,,CLIR Sponsor-DLF Member,7/1/15 0:00,6/30/17 0:00,"365 N McIlroy Avenue<BR/>Fayatteville, AR 72701-4002 US",Ms. Judy Ganson,,
"    ""20""",New York Art Resources Consortium,,DLF Member,9/7/16 0:00,6/30/17 0:00,"Frick Art Reference Library<BR/>10 East 71st Street<BR/>New York, NY 10021 US",,,
"    ""21""",OCLC Research Library Partnership,,DLF Member,7/1/11 0:00,6/30/17 0:00,"6565 Kilgour Place<BR/>Dublin, OH 43107-3395 US",Ms. Terry Butterworth,,
"    ""22""",Florida State University,,DLF Member,7/1/11 0:00,6/30/17 0:00,"116 Honors Way<BR/>Tallahassee, FL 32306 US",Ms. Katie McCormick,,
"    ""23""",McGill University Libraries,,DLF Member,7/1/14 0:00,6/30/17 0:00,"3459 McTavish Street<BR/>Montreal, QC H3A 1Y1 CA",Jenn Riley,,
"    ""24""",University of Manitoba,,DLF Member,7/1/16 0:00,6/30/17 0:00,"Libraries<BR/>Winnipeg, MB R3T 2N2 CA",Dr. Mary-Jo Romaniuk,,
"    ""25""",Drexel University,,DLF Member,7/1/16 0:00,6/30/17 0:00,"Hagerty Library<BR/>3141 Chestnut Street<BR/>Philadelphia, PA 19104-2816 US",Ms. Danuta Nitecki,,
"    ""26""",Clemson University,,DLF Member,7/1/11 0:00,6/30/17 0:00,"Campus Box 34-3001<BR/>116 Sigma Drive<BR/>Clemson, SC 29634-3001 US",Mr. Chris Vinson,,
"    ""27""",Carnegie Mellon University,,CLIR Sponsor-DLF Member,9/29/14 0:00,6/30/17 0:00,"5000 Forbes Avenue<BR/>Pittsburgh, PA 15213-3890 US",Mr. Keith Webster,,
